"","all","n","radius","diameter"
"1","-1",39,3.52336281997296,10.5
"2","-1-2",1,0.564189583547756,1.65
"3","-1-2-3-4-6",2,0.797884560802865,2.4
"4","-1-2-4-6",1,0.564189583547756,1.65
"5","-1-3",1,0.564189583547756,1.65
"6","-1-3-4",1,0.564189583547756,1.65
"7","-1-3-4-6",2,0.797884560802865,2.4
"8","-1-4",10,1.78412411615277,5.4
"9","-1-4-6",12,1.95441004761168,5.85
"10","-1-6",8,1.59576912160573,4.8
"11","-2-3",2,0.797884560802865,2.4
"12","-2-4-5-6",1,0.564189583547756,1.65
"13","-2-5",3,0.97720502380584,3
"14","-2-5-6",1,0.564189583547756,1.65
"15","-3-4-5",1,0.564189583547756,1.65
"16","-3-5-6",1,0.564189583547756,1.65
"17","-4",5,1.26156626101008,3.75
"18","-4-5",1,0.564189583547756,1.65
"19","-4-6",4,1.12837916709551,3.45
"20","-5-6",3,0.97720502380584,3
"21","-6",11,1.87120515925478,5.55
